ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp,cod_municipio
2014,1,S,3,1,1,5,60,20,20,5222203
2014,1,S,18,0,1,19,94.7368421052632,0,5.26315789473684,5222302
2014,2,NA,0,0,0,0,-1,-1,-1,5200050
2014,2,S,30,0,3,33,90.9090909090909,0,9.09090909090909,5200100
2014,2,N,14,1,1,16,87.5,6.25,6.25,5200134
2014,2,NA,0,0,0,0,-1,-1,-1,5200159
2014,2,NA,0,0,0,0,-1,-1,-1,5200175
2014,2,NA,0,0,0,0,-1,-1,-1,5200209
2014,2,S,18,4,13,35,51.4285714285714,11.4285714285714,37.1428571428571,5200258
2014,2,S,19,1,2,22,86.3636363636364,4.54545454545455,9.09090909090909,5200308
2014,2,NA,0,0,0,0,-1,-1,-1,5200506
2014,2,NA,0,0,0,0,-1,-1,-1,5200555
2014,2,N,5,2,7,14,35.7142857142857,14.2857142857143,50,5200605
2014,2,N,2,2,2,6,33.3333333333333,33.3333333333333,33.3333333333333,5200803
2014,2,NA,0,0,0,0,-1,-1,-1,5200829
2014,2,NA,0,0,0,0,-1,-1,-1,5200852
2014,2,S,7,1,0,8,87.5,12.5,0,5200902
2014,2,N,28,1,0,29,96.551724137931,3.44827586206897,0,5201108
2014,2,NA,0,0,0,0,-1,-1,-1,5201207
2014,2,S,23,0,1,24,95.8333333333333,0,4.16666666666667,5201306
2014,2,N,2,2,3,7,28.5714285714286,28.5714285714286,42.8571428571429,5201405
2014,2,NA,0,0,0,0,-1,-1,-1,5201454
2014,2,NA,0,0,0,0,-1,-1,-1,5201504
2014,2,S,9,0,0,9,100,0,0,5201603
2014,2,S,9,0,0,9,100,0,0,5201702
2014,2,NA,0,0,0,0,-1,-1,-1,5201801
2014,2,NA,0,0,0,0,-1,-1,-1,5202155
2014,2,NA,0,0,0,0,-1,-1,-1,5202353
2014,2,S,8,0,0,8,100,0,0,5202502
2014,2,N,9,0,1,10,90,0,10,5202601
2014,2,NA,0,0,0,0,-1,-1,-1,5202809
2014,2,NA,0,0,0,0,-1,-1,-1,5203104
2014,2,S,27,1,2,30,90,3.33333333333333,6.66666666666667,5203203
2014,2,S,45,2,2,49,91.8367346938776,4.08163265306122,4.08163265306122,5203302
2014,2,NA,0,0,0,0,-1,-1,-1,5203401
2014,2,S,9,6,1,16,56.25,37.5,6.25,5203500
2014,2,NA,0,0,0,0,-1,-1,-1,5203559
2014,2,NA,0,0,0,0,-1,-1,-1,5203575
2014,2,NA,0,0,0,0,-1,-1,-1,5203609
2014,2,NA,0,0,0,0,-1,-1,-1,5203807
2014,2,N,16,2,2,20,80,10,10,5203906
2014,2,NA,0,0,0,0,-1,-1,-1,5203939
2014,2,NA,0,0,0,0,-1,-1,-1,5203962
2014,2,NA,0,0,0,0,-1,-1,-1,5204003
2014,2,N,12,3,0,15,80,20,0,5204102
2014,2,N,5,1,0,6,83.3333333333333,16.6666666666667,0,5204201
