cod_municipio,ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp
520580,2016,2,S,23,0,1,24,0.9583333333,0,0.0416666667
520590,2016,2,S,22,0,2,24,0.9166666667,0,0.0833333333
520620,2016,2,S,13,31,31,75,0.1733333333,0.4133333333,0.4133333333
520630,2016,2,N,8,0,0,8,1,0,0
520640,2016,2,S,19,12,9,40,475,0.3,225
520650,2016,2,S,11,0,0,11,1,0,0
520660,2016,2,N,6,0,0,6,1,0,0
520670,2016,2,N,4,0,1,5,0.8,0,0.2
520680,2016,2,S,6,1,0,7,0.8571428571,0.1428571429,0
520690,2016,2,N,6,0,0,6,1,0,0
520710,2016,2,S,8,0,0,8,1,0,0
520725,2016,2,N,9,1,6,16,0.5625,0.0625,375
520735,2016,2,S,6,1,7,14,0.4285714286,0.0714285714,0.5
520740,2016,2,S,18,0,0,18,1,0,0
520750,2016,2,S,10,0,0,10,1,0,0
520753,2016,2,N,5,0,0,5,1,0,0
520760,2016,2,N,11,4,2,17,0.6470588235,0.2352941176,0.1176470588
520780,2016,2,N,13,0,0,13,1,0,0
520790,2016,2,S,0,0,14,14,0,0,1
520800,2016,2,S,67,2,5,74,0.9054054054,0.027027027,0.0675675676
520810,2016,2,N,2,1,7,10,0.2,0.1,0.7
520815,2016,2,S,9,1,2,12,0.75,0.0833333333,0.1666666667
520830,2016,2,S,2,6,5,13,0.1538461538,0.4615384615,0.3846153846
520840,2016,2,N,3,0,2,5,0.6,0,0.4
520850,2016,2,S,9,0,0,9,1,0,0
520860,2016,2,S,44,0,1,45,0.9777777778,0,0.0222222222
520870,2016,2,N,35,0,0,35,1,0,0
520880,2016,2,S,11,1,3,15,0.7333333333,0.0666666667,0.2
520890,2016,2,N,2,1,20,23,0.0869565217,0.0434782609,0.8695652174
520910,2016,2,N,27,2,3,32,0.84375,0.0625,0.09375
520915,2016,2,N,7,0,0,7,1,0,0
520920,2016,2,S,5,0,2,7,0.7142857143,0,0.2857142857
520929,2016,2,S,5,0,2,7,0.7142857143,0,0.2857142857
520940,2016,2,N,5,4,1,10,0.5,0.4,0.1
520945,2016,2,N,12,0,0,12,1,0,0
520960,2016,2,N,9,1,2,12,0.75,0.0833333333,0.1666666667
520970,2016,2,S,9,0,13,22,0.4090909091,0,0.5909090909
520980,2016,2,N,5,2,4,11,0.4545454545,0.1818181818,0.3636363636
520990,2016,2,N,12,1,2,15,0.8,0.0666666667,0.1333333333
520993,2016,2,S,3,3,2,8,375,375,0.25
520995,2016,2,N,5,0,7,12,0.4166666667,0,0.5833333333
521000,2016,2,S,22,2,2,26,0.8461538462,0.0769230769,0.0769230769
521010,2016,2,N,14,1,4,19,0.7368421053,0.0526315789,0.2105263158
521015,2016,2,S,11,0,0,11,1,0,0
521020,2016,2,S,22,1,0,23,0.9565217391,0.0434782609,0
521030,2016,2,N,6,0,0,6,1,0,0
521040,2016,2,S,40,0,0,40,1,0,0
521056,2016,2,S,5,2,0,7,0.7142857143,0.2857142857,0
521060,2016,2,N,6,0,1,7,0.8571428571,0,0.1428571429
521080,2016,2,S,16,0,1,17,0.9411764706,0,0.0588235294
521090,2016,2,N,1,0,10,11,0.0909090909,0,0.9090909091
521100,2016,2,N,15,1,0,16,0.9375,0.0625,0
521120,2016,2,S,20,4,1,25,0.8,0.16,0.04
521130,2016,2,S,18,1,1,20,0.9,0.05,0.05
