cod_municipio,ano,item1_mde,item1_fundeb,item1_mde,item1_fundeb,item3e4_mde_edu_inf,item3e4_fundeb_pag_mag,item3e4_mde_edu_fun,item3e4_fundeb_pag_mag,item3e4_fundeb_pag_mag,dedu_const,item_perc_certi
5205513,2015,"24098489,12","2830879,25","21267609,87","11344090,14","56589,35","13463282,03","13519871,38","8118178,92","3360175,42","7480031,88","25,06"
5205521,2015,"11918872,09","1156903,52","10761968,57","1607355,66",0,"4247863,78","4247863,78","1207483,2","467702,52","-47991,93","36,04"
5205703,2015,"9786873,86","414430,01","9372443,85","781192,49","33577,98","1741320,3","1774898,28","614547,29","134626,48","-930767,38","27,65"
5205802,2015,"15592075,75","1221520,19","14370555,56","3279563,9",0,"5585596,75","5585596,75","3053146,99","424170,73","612186,97","31,9"
5205901,2015,"21452358,27","1046361,46","20405996,81","3565030,96","380656,4","6691523,36","7072179,76",2883792,"682441,01","-432114,85","34,98"
5206206,2015,"93456529,15","20434267,43","73022261,72","33387023,47","174511,18","50707481,01","50881992,19","26718399,53","7649433,12","26777314,57","25,79"
5206305,2015,"9813323,18","445219,56","9368103,62","2088667,01",0,"3595649,62","3595649,62","1695823,25","556297,72","494544,95","31,6"
5206404,2015,"33042297,12",6521984,"26520313,12","5804759,3",0,"15411087,04","15411087,04","4029118,53","614308,29","2119977,58","40,22"
5206503,2015,"9510083,19","296478,93","9213604,26","673768,58","39377,57","1689396,58","1728774,15","494368,74","186530,63","-1056466,56","29,29"
5206602,2015,"9991634,47","617965,12","9373669,35","335029,34","601961,79","783100,25","1385062,04","335581,77","7097,82","-1399073,58","27,86"
5206701,2015,"10597638,45","104497,16","10493141,29","1069745,67",0,"1705231,02","1705231,02","823765,67","260975,14","-781328,66","23,46"
5206800,2015,"10131731,83","1209172,63","8922559,2","966440,55","25652,61","1867245,93","1892898,54","874069,75","125646,41","-677285,47","25,37"
5206909,2015,"16418088,29","381949,11","16036139,18","622286,09","136577,72","2377368,88","2513946,6","600175,95","96012,52","-2188157,19","28,64"
5207105,2015,"9686551,94","381840,89","9304711,05","425851,6","74495,34","1128296,38","1202791,72","300814,03","84034,7","-1287491,19","25,71"
5208301,2015,"10560737,04","1443000,67","9117736,37","2548531,16","24883,74","3861171,91","3886055,65","1544725,78","1040982,7","1093792,5","26,44"
5207253,2015,"15499576,59","1491309,81","14008266,78","2156750,26",0,"5244829,18","5244829,18","2163511,12",20000,"-234238,67","35,35"
5207352,2015,"18677595,45","7143320,32","11534275,13","2434886,5","38986,92","4974856,3","5013843,22","2363072,13","52365,52","284374,71","25,32"
5207402,2015,"25710078,31","4483440,32","21226637,99","4203744,88","33165,9","7051382,64","7084548,54","4542319,53",0,"95795,52","27,18"
5207501,2015,"9519525,28","454572,57","9064952,71","1714434,35","3297,9","2526418,94","2529716,84","1315920,13","402825,81","27972,36","26,28"
5207535,2015,"11217873,12","830790,34","10387082,78","2243653,81","28422,08","3615555,4","3643977,48","811807,15","752631,82","1402837,46","19,98"
5207600,2015,"10845193,78","926481,74","9918712,04","979280,85","4273,38","2779580,42","2783853,8","829465,4","195267,21","-684161,63","31,98"
5207808,2015,"15902311,01","1145019,92","14757291,09",2530024,"908099,5","3166247,67","4074347,17","1807148,58","770196,18","-230355,39","27,07"
5207907,2015,"16911238,94","852702,23","16058536,71","6482341,73",0,"9807666,55","9807666,55","4152754,28","2688724,73","4573660,96","30,95"
5208004,2015,"97594470,69","27285690,74","70308779,95","45958473,77","38047991,15","16303730,49","54351721,64","37494252,99","7714434,4","34678281,37","20,16"
5208103,2015,"9677148,45","310998,45",9366150,"1258875,45",0,"2561076,84","2561076,84","1053173,85","250889,64","-413762,76","30,74"
5208152,2015,"11600369,63","527936,89","11072432,74","2274839,09","3326,53","4401740,15","4405066,68","2325769,65","2930,64","274478,93","35,61"
5208400,2015,"18348911,17","1908239,44","16440671,73","5304205,3","33026,18","6939795,66","6972821,84","3818999,09","1349216,71","2391820,88","24,97"
5208509,2015,"10672580,03","699968,15","9972611,88","1790995,16",9456,"3061592,39","3071048,39","1322095,16","490005,34","47157,52","28,33"
5208608,2015,"82902978,96","23868344,56","59034634,4","21661594,44","1911660,43","33371732,27","35283392,7","17176865,44","5776509,27","20650613,53","17,65"
5208707,2015,"2226571118,62","1228897796,8","997673321,82","337659300,86",9835470,"736720126,94","746555596,94","307809762,32","31292571,34","148233696,89","26,87"
5208806,2015,"46019122,36","13827714,49","32191407,87","18296859,94","2636079,3","22877068,07","25513147,37","17269514,98","1206281,53","12890354,97","27,43"
5208905,2015,"30356652,79","4248936,24","26107716,55","4896147,16","207823,74","10334279,26",10542103,"4109697,42","990087,32","445184,26","33,26"
5209101,2015,"64968145,94","12602325,66","52365820,28","15297289,65","1734335,2","24809958,02","26544293,22","13109090,93","1014115,2","6821589,3","30,36"
5209150,2015,"13731216,93","1085394,28","12645822,65","2219603,2","43146,84","3988308,28","4031455,12","2053970,23","204644,73","-186390,17","30,72"
5209200,2015,"18657742,32","2865989,67","15791752,65","5369717,21","2353,96","8533281,33","8535635,29","3942402,52","1598197,01","3406763,96","27,49"
5209291,2015,"8910672,76","320262,35","8590410,41","704894,91",5050,"1962461,58","1967511,58","863889,73","354,12","-920028,93","32,41"
