ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp,cod_municipio
2016,2,N,12,1,1,14,85.7142857143,7.1428571429,7.1428571429,5216809
2016,2,N,0,0,8,8,0,0,100,5216908
2016,2,S,35,1,5,41,85.3658536585,2.4390243902,12.1951219512,5217104
2016,2,S,12,2,0,14,85.7142857143,14.2857142857,0,5217203
2016,2,N,24,5,9,38,63.1578947368,13.1578947368,23.6842105263,5217302
2016,2,N,15,0,1,16,93.75,0,6.25,5217401
2016,2,S,37,0,12,49,75.5102040816,0,24.4897959184,5217609
2016,2,N,24,2,3,29,82.7586206897,6.8965517241,10.3448275862,5217708
2016,2,S,33,0,4,37,89.1891891892,0,10.8108108108,5218003
2016,2,N,7,0,1,8,87.5,0,12.5,5218052
2016,2,S,9,0,1,10,90,0,10,5218102
2016,2,N,15,1,8,24,62.5,4.1666666667,33.3333333333,5218300
2016,2,S,8,0,5,13,61.5384615385,0,38.4615384615,5218391
2016,2,N,48,0,2,50,96,0,4,5218508
2016,2,S,9,0,0,9,100,0,0,5218607
2016,2,S,6,0,0,6,100,0,0,5218706
2016,2,S,8,0,0,8,100,0,0,5218789
2016,2,S,163,0,0,163,100,0,0,5218805
2016,2,S,24,0,0,24,100,0,0,5218904
2016,2,S,7,1,1,9,77.7777777778,11.1111111111,11.1111111111,5219001
2016,2,N,3,1,3,7,42.8571428571,14.2857142857,42.8571428571,5219100
2016,2,N,4,0,2,6,66.6666666667,0,33.3333333333,5219209
2016,2,S,16,0,0,16,100,0,0,5219258
2016,2,S,28,0,0,28,100,0,0,5219308
2016,2,S,14,1,1,16,87.5,6.25,6.25,5219357
2016,2,S,8,0,3,11,72.7272727273,0,27.2727272727,5219407
2016,2,S,13,0,0,13,100,0,0,5219456
2016,2,S,4,0,1,5,80,0,20,5219506
2016,2,S,11,0,0,11,100,0,0,5219605
2016,2,S,5,0,0,5,100,0,0,5219704
2016,2,S,13,0,0,13,100,0,0,5219712
