cod_municipio,ano,item1_mde,item1_fundeb,itens3e4_mde_edu_inf,itens3e4_mde_edu_fun,itens3e4_fundeb_pag_mag,itens3e4_fundeb_outras_desp,dedu_const,item2_perc_cert
5215652,2016,12643937.83,1103948.13,259405.03,2348271.86,898508.03,189996.52,-1044267.69,28.88
5215702,2016,54916671.1,7632749,122295.41,13605395.1,4524590.2,3194148.75,146134.23,24.73
5215801,2016,10003533.36,552917.97,0,1652246.74,439580.77,107118.12,-1247884.45,28.99
5215900,2016,13598915.14,1700444.53,25754.22,3185113.12,1598233.66,78178.7,-503734.63,27.32
5216007,2016,12304587.82,1009586.59,0,2158430.43,935017.07,73504.27,-954036.28,25.3
5216304,2016,15862477.46,3864391.92,11708.02,5908030.98,3103886.82,756770.93,1108403.73,30.33
5216403,2016,40120486.43,5163752.57,325738.87,9347871.22,3884285.79,347483.24,-509205.52,25.38
5216452,2016,23465310.12,1625667.85,212481.37,4514928.2,1625667.85,37391.7,-2217458.45,29.6
5216809,2016,16263805.38,0,16904.77,4432868.09,0,0,-666657.26,31.46
5216908,2016,15382505.48,741818.61,0,3449654.44,608850.12,133143.82,-1266198.7,30.66
5217104,2016,43429232.22,8218942.01,1250830.21,14442691.07,6751786.22,1182454.83,1415363.07,32.88
5217203,2016,20877245.26,3424556.9,7500,7411746.65,3066255.9,354841.77,152210.21,34.81
5217302,2016,30729785.58,9430241.27,78004.04,12319445.01,7930631.42,1486004.88,4398777.49,26.03
5217401,2016,46575117.83,6115145.19,942523.57,10560582.15,4785275.08,1318367.55,-1745294.13,28.45
5217609,2016,63037834.75,58467288.1,0,76104392.94,55553001.28,13485099.85,51009305.56,39.81
5217708,2016,30124744.53,5396180.7,0,8432459.04,5065938.76,184667.03,588884.97,26.04
5218003,2016,55996023.45,16618220.9,101884.86,26272937.4,15798736.98,275976.75,9217978.4,30.64
5218052,2016,16717313.92,1681502.16,44572.03,3447517.89,1409056.45,254660.61,-1000504.42,26.87
5218102,2016,17889345.84,1506914.71,246716.27,3055495.27,1506914.71,804.75,-1524781.05,26.98
5218300,2016,38172067.69,14852730.91,266042.67,20636767.66,12530510.92,2537854.12,9225476.24,30.59
5218391,2016,11194135.53,424550.96,0,1566147.21,424550.96,22081.26,-1470776.59,27.13
5218508,2016,92341758.52,19987595.06,0,36061920.27,19987595.06,760025.31,7177456.66,31.28
5218607,2016,16045547.55,3730669.73,0,6080312.81,2157650.67,1526021.83,1024584.19,31.51
5218706,2016,12206660.31,1746104.77,66452.34,2729313.16,1571907.52,150406.54,-378687.43,26.01
5218789,2016,21224809.72,2591162.08,1213390.52,4239410.96,2013327.11,628888.06,-20799.64,25.79
5218805,2016,418576585.32,82889110.95,11885173.99,132732758.74,77585414.77,2854010.72,27540630.07,27.97
5218904,2016,30500546.16,7773315.67,41592.12,12153359.34,7835008.94,138718.15,3187511.23,29.53
5219001,2016,12636706.98,2348118.36,360,4244439.63,1529849.14,903665.91,395386.79,30.46
5219100,2016,11809034.59,2743680.73,64409.33,3926709.22,1682764.69,993105.15,695726.56,27.91
5219209,2016,12657123.09,802632.18,0,1692818.99,718260.8,106649.28,-1511590.94,25.32
5219258,2016,16195908.17,2231520.59,0,3542818.91,1869009.32,82176.74,-705170.6,26.23
5219308,2016,64545180.1,10676504.6,0,20728653.92,6811387.53,4200461.37,1269792.15,30.15
5219357,2016,11036436.34,784299.25,0,1869446.93,720152.03,18739.58,-1107120.75,26.97
5219407,2016,12924422.44,2428413.17,275507.84,3532895.91,2427521.27,3859.99,440970.86,26.05
5219456,2016,11356418,951576.4,0,3542565.13,917675.18,284.02,-761255.61,37.9
5219506,2016,10683707.59,799026.97,0,2129996.99,799026.97,359.25,-1079566.4,30.04
5219605,2016,12098452,1881753.75,207275.32,2811907.85,1326962.69,472840.96,-291893.04,27.37
5219704,2016,12406416.91,4521598.57,0,6097268.46,2914715.28,1531990.56,2432500.37,29.54
5219712,2016,16616937.89,1956251.49,90731.84,4273248.9,1646849.75,276894.15,-747750.03,30.76
5219738,2016,49074917.73,43949728.57,8385638.37,43584474.75,32316429.76,13729170.22,40591488.87,23.19
5219753,2016,13262138.51,2697164.87,257123.2,3971430.56,1960637.18,670097.39,888162.49,25.19
